name	discount	month	price
gizmo1	15%	mar	49
mouse2	15%	mar	49
click9	10%	jun	49
gizmo1	10%	jun	49
mouse2	10%	jun	49
click4	10%	jun	49
click9	33%	jul	49
gizmo1	33%	jul	49
mouse2	33%	jul	49
click4	33%	jul	49
mouse2	33%	jan	49
click9	33%	jan	49
gizmo1	33%	jan	49
click4	33%	jan	49
mouse2	10%	feb	49
click4	10%	feb	49
click9	10%	feb	49
gizmo1	10%	feb	49
click9	33%	dec	49
gizmo1	33%	dec	49
mouse2	33%	dec	49
click4	33%	dec	49
mouse2	15%	aug	49
click4	15%	aug	49
click9	15%	aug	49
gizmo1	15%	aug	49
gizmo1	15%	apr	49
click4	15%	apr	49
mouse2	15%	apr	49
mouse8	15%	apr	59
bar2	15%	aug	59
bar3	15%	aug	59
bar2	15%	apr	59
bar3	15%	apr	59
mouse8	15%	aug	59
bar2	33%	dec	59
bar3	33%	dec	59
mouse8	33%	dec	59
bar2	10%	feb	59
bar3	10%	feb	59
mouse8	10%	feb	59
bar2	33%	jan	59
bar3	33%	jan	59
mouse8	33%	jan	59
bar2	33%	jul	59
bar3	33%	jul	59
mouse8	33%	jul	59
bar2	10%	jun	59
bar3	10%	jun	59
mouse8	15%	mar	59
bar2	10%	may	59
bar3	10%	may	59
mouse8	10%	jun	59
bar2	15%	mar	59
bar3	15%	mar	59
mouse8	10%	may	59
bar2	15%	nov	59
bar3	15%	nov	59
mouse8	15%	sep	59
mouse8	15%	nov	59
bar2	10%	oct	59
bar3	10%	oct	59
mouse8	10%	oct	59
bar2	15%	sep	59
bar3	15%	sep	59
mouse9	10%	oct	69
mouse4	10%	oct	69
mouse9	15%	nov	69
mouse4	15%	nov	69
mouse9	15%	sep	69
mouse4	15%	sep	69
mouse9	10%	may	69
mouse4	10%	may	69
mouse9	10%	jun	69
mouse9	15%	mar	69
mouse4	15%	mar	69
mouse9	33%	jul	69
mouse4	33%	jul	69
mouse4	10%	jun	69
mouse9	33%	jan	69
mouse4	33%	jan	69
mouse9	10%	feb	69
mouse4	10%	feb	69
mouse9	33%	dec	69
mouse4	33%	dec	69
mouse9	15%	aug	69
mouse4	15%	aug	69
mouse9	15%	apr	69
mouse4	15%	apr	69
gizmo9	15%	apr	79
gizmo5	15%	apr	79
gizmo5	15%	aug	79
gizmo9	15%	aug	79
gizmo9	33%	dec	79
gizmo5	10%	feb	79
gizmo9	10%	feb	79
gizmo5	33%	jan	79
gizmo9	33%	jan	79
gizmo9	33%	jul	79
gizmo5	33%	jul	79
gizmo9	10%	jun	79
gizmo5	10%	jun	79
gizmo9	15%	mar	79
gizmo5	15%	mar	79
gizmo9	10%	may	79
gizmo5	10%	may	79
gizmo9	15%	sep	79
gizmo5	15%	sep	79
gizmo9	15%	nov	79
gizmo5	15%	nov	79
gizmo9	10%	oct	79
gizmo5	10%	oct	79
gizmo8	10%	oct	89
mouse5	10%	oct	89
click6	15%	sep	89
bar5	15%	sep	89
gizmo8	15%	nov	89
click6	15%	nov	89
bar5	15%	nov	89
mouse5	15%	nov	89
click6	10%	oct	89
bar5	10%	oct	89
gizmo8	15%	sep	89
mouse5	15%	sep	89
gizmo8	10%	may	89
click6	10%	may	89
bar5	10%	may	89
mouse5	10%	may	89
gizmo8	15%	mar	89
mouse5	15%	mar	89
click6	15%	mar	89
bar5	15%	mar	89
gizmo8	10%	jun	89
mouse5	10%	jun	89
mouse5	33%	jul	89
click6	10%	jun	89
bar5	10%	jun	89
gizmo8	33%	jul	89
click6	33%	jul	89
bar5	33%	jul	89
gizmo8	33%	jan	89
mouse5	33%	jan	89
click6	33%	jan	89
bar5	33%	jan	89
click6	10%	feb	89
gizmo8	10%	feb	89
mouse5	10%	feb	89
bar5	10%	feb	89
mouse5	33%	dec	89
gizmo8	33%	dec	89
click6	33%	dec	89
gizmo8	15%	aug	89
click6	15%	aug	89
mouse5	15%	aug	89
bar5	33%	dec	89
click6	15%	apr	89
bar5	15%	apr	89
gizmo8	15%	apr	89
mouse5	15%	apr	89
bar5	15%	aug	89
bar6	15%	aug	99
mouse6	15%	apr	99
bar6	15%	apr	99
click5	15%	apr	99
gizmo2	15%	apr	99
bar6	33%	dec	99
click5	33%	dec	99
mouse6	15%	aug	99
gizmo2	15%	aug	99
click5	15%	aug	99
gizmo2	33%	dec	99
mouse6	33%	dec	99
bar6	10%	feb	99
gizmo2	10%	feb	99
click5	10%	feb	99
mouse6	10%	feb	99
bar6	33%	jan	99
click5	33%	jan	99
gizmo2	33%	jan	99
mouse6	33%	jan	99
click5	33%	jul	99
bar6	33%	jul	99
gizmo2	33%	jul	99
bar6	10%	jun	99
click5	10%	jun	99
mouse6	33%	jul	99
mouse6	10%	jun	99
gizmo2	10%	jun	99
bar6	15%	mar	99
gizmo2	15%	mar	99
click5	15%	mar	99
mouse6	15%	mar	99
mouse6	10%	may	99
click5	15%	nov	99
bar6	10%	may	99
click5	10%	may	99
gizmo2	10%	may	99
mouse6	15%	sep	99
bar6	10%	oct	99
click5	10%	oct	99
mouse6	15%	nov	99
bar6	15%	nov	99
gizmo2	15%	nov	99
bar6	15%	sep	99
gizmo2	15%	sep	99
click5	15%	sep	99
mouse6	10%	oct	99
gizmo2	10%	oct	99
